"","Site_ID","GS","pTE_psi_to_ET","plag_psi_to_ET","aggTE_psi_to_ET","mem1_psi_to_ET","mem2_psi_to_ET","mem3_psi_to_ET","mem4_psi_to_ET","mem5_psi_to_ET","pTE_VPD_to_ET","plag_VPD_to_ET","aggTE_VPD_to_ET","mem1_VPD_to_ET","mem2_VPD_to_ET","mem3_VPD_to_ET","mem4_VPD_to_ET","mem5_VPD_to_ET","pTE_TA_to_ET","plag_TA_to_ET","aggTE_TA_to_ET","mem1_TA_to_ET","mem2_TA_to_ET","mem3_TA_to_ET","mem4_TA_to_ET","mem5_TA_to_ET","pTE_ET_to_psi","plag_ET_to_psi","aggTE_ET_to_psi","mem1_ET_to_psi","mem2_ET_to_psi","mem3_ET_to_psi","mem4_ET_to_psi","mem5_ET_to_psi","pTE_VPD_to_psi","plag_VPD_to_psi","aggTE_VPD_to_psi","mem1_VPD_to_psi","mem2_VPD_to_psi","mem3_VPD_to_psi","mem4_VPD_to_psi","mem5_VPD_to_psi","pTE_TA_to_psi","plag_TA_to_psi","aggTE_TA_to_psi","mem1_TA_to_psi","mem2_TA_to_psi","mem3_TA_to_psi","mem4_TA_to_psi","mem5_TA_to_psi","pTE_ET_to_VPD","plag_ET_to_VPD","aggTE_ET_to_VPD","mem1_ET_to_VPD","mem2_ET_to_VPD","mem3_ET_to_VPD","mem4_ET_to_VPD","mem5_ET_to_VPD","pTE_psi_to_VPD","plag_psi_to_VPD","aggTE_psi_to_VPD","mem1_psi_to_VPD","mem2_psi_to_VPD","mem3_psi_to_VPD","mem4_psi_to_VPD","mem5_psi_to_VPD","pTE_TA_to_VPD","plag_TA_to_VPD","aggTE_TA_to_VPD","mem1_TA_to_VPD","mem2_TA_to_VPD","mem3_TA_to_VPD","mem4_TA_to_VPD","mem5_TA_to_VPD","pTE_ET_to_TA","plag_ET_to_TA","aggTE_ET_to_TA","mem1_ET_to_TA","mem2_ET_to_TA","mem3_ET_to_TA","mem4_ET_to_TA","mem5_ET_to_TA","pTE_psi_to_TA","plag_psi_to_TA","aggTE_psi_to_TA","mem1_psi_to_TA","mem2_psi_to_TA","mem3_psi_to_TA","mem4_psi_to_TA","mem5_psi_to_TA","pTE_VPD_to_TA","plag_VPD_to_TA","aggTE_VPD_to_TA","mem1_VPD_to_TA","mem2_VPD_to_TA","mem3_VPD_to_TA","mem4_VPD_to_TA","mem5_VPD_to_TA"
"12","US-AR1","NGS",2.12355630171508,0,39.050721530653,72,73,72,72,72,3.86872621320246,0,55.1781762507042,72,73,72,72,72,4.11410855563385,0,60.6221936664346,72,73,72,72,72,4.66950368216552,1,79.9076380522208,72,73,72,72,72,4.28544614032246,13,85.3560653002812,72,73,72,72,72,4.87730031782943,6,95.0577623134994,72,73,72,72,72,1.89127274461214,0,20.7359880272491,12,12,12,39,12,0.853112355072703,8,7.67200744933245,0,9,4,18,12,17.8233038954102,0,61.3921675167783,34,34,34,70,34,1.57500578932066,0,5.18480873728674,4,4,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,13.4513295595998,0,35.2463398988832,6,6,6,48,6
"13","US-AR2","FT",1.15715186352743,2,21.6806003087091,72,73,72,72,72,3.76229890379006,0,41.7574046046024,72,73,72,72,72,2.86565820817935,0,36.151310187765,72,73,72,72,72,2.37984104787922,0,41.5127572584192,72,73,72,72,72,2.38371919694158,10,47.6043371803875,72,73,72,72,72,3.06793310255581,1,57.8236103052173,72,73,72,72,72,2.1669103675384,0,23.7482769907549,41,41,41,69,41,0.698433441768052,22,8.90064625638923,2,12,3,47,25,21.5044917244142,0,48.0881068692135,72,73,72,72,72,1.35987414811165,0,13.7515106853384,18,18,18,49,18,0.631430064579342,0,1.72958215933078,1,1,1,8,1,16.4903297763977,0,38.0331211973587,41,41,41,67,41
"14","US-AR2","GS",1.71451592977657,0,33.3065185478766,72,73,72,72,72,3.89382339799112,0,45.0172800750958,72,73,72,72,72,3.66851307041318,0,42.4344149448096,55,55,55,71,55,2.82237588704272,1,49.2996932858284,72,73,72,72,72,2.73051163226462,1,43.1510523337198,16,16,15,70,16,3.05195101270455,1,49.8412660105812,72,73,72,72,72,3.27187936481724,0,35.8205216364501,17,17,17,66,17,1.08896466201238,0,11.8725023244949,2,2,2,44,2,24.8276357972174,0,62.800632658694,29,29,29,70,29,2.96088182030645,0,29.5458470719613,8,8,8,60,8,0.956808319287066,22,5.37161593781841,3,5,5,26,27,21.7281316094374,0,55.7573055678359,17,17,17,71,17
"15","US-AR2","NGS",1.74215009459964,3,31.0940991003791,56,56,53,70,56,3.47598718808619,0,44.1981631117137,12,12,12,70,12,3.13649607651621,0,49.7190307790238,72,73,72,72,72,1.60948941615392,6,21.1263333872599,10,10,4,41,10,1.73571662514954,23,30.2773319175727,5,19,10,61,33,2.54291293033791,2,44.5487801565738,19,19,17,69,19,2.18862638581198,0,17.6313106371895,13,13,13,45,13,0.93764785837051,5,1.87252262788175,0,1,1,1,6,22.1680654046323,0,66.8551573527069,20,20,20,58,20,1.36534031110858,0,8.74798030087509,6,6,6,15,6,NA,NA,NA,NA,NA,NA,NA,NA,14.6980481617467,0,36.9399023683181,1,1,1,31,1
"16","US-ARb","FT",NA,NA,NA,NA,NA,NA,NA,NA,5.17787689205375,0,60.564608905465,72,73,72,72,72,4.83897070639906,0,51.3246955900039,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42908427237933,0,51.4456371574564,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,16.6834950037659,0,57.5780967305244,34,34,34,70,34,3.67419172244399,0,26.1010468457499,11,11,11,41,11,NA,NA,NA,NA,NA,NA,NA,NA,13.467847003902,0,40.4058346847906,7,7,7,50,7
"17","US-ARb","GS",NA,NA,NA,NA,NA,NA,NA,NA,5.93772692151842,0,69.3216881696172,60,60,60,70,60,7.87079049265117,0,73.5073914889393,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32800019930215,0,61.1051423270867,36,36,36,62,36,NA,NA,NA,NA,NA,NA,NA,NA,20.0315254304038,0,75.1177190105319,29,29,29,58,29,6.60655838144563,0,46.8677741399987,11,11,11,47,11,NA,NA,NA,NA,NA,NA,NA,NA,17.567215673367,0,63.7271465514295,14,14,14,56,14
"18","US-ARb","NGS",NA,NA,NA,NA,NA,NA,NA,NA,5.25404327446553,0,70.1817243799153,9,9,9,60,9,4.85486743357736,0,73.7516844463149,10,10,10,62,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81530847964706,0,45.711603885213,8,8,8,41,8,NA,NA,NA,NA,NA,NA,NA,NA,18.0151657972956,0,69.4394348656878,11,11,11,52,11,3.69427139970344,0,8.89525341304619,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,13.8845594638908,0,16.4491856945799,2,2,2,9,2
"19","US-ARc","FT",NA,NA,NA,NA,NA,NA,NA,NA,5.56763314978954,0,60.3889432830476,72,73,72,72,72,5.42809590318873,0,50.9658715156998,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79213185438147,0,53.9311139474426,72,73,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,15.3836509492251,0,58.0615046370681,29,29,29,63,29,3.8752689944962,0,24.6196706506563,9,9,9,39,9,NA,NA,NA,NA,NA,NA,NA,NA,11.9711755652707,0,41.1511804671131,17,17,17,51,17
"20","US-ARc","GS",NA,NA,NA,NA,NA,NA,NA,NA,6.06564553097257,0,70.6847701497459,14,14,14,70,14,8.20791659814046,0,68.5452647727622,11,11,11,63,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59332949951267,0,68.1110219339961,34,34,34,66,34,NA,NA,NA,NA,NA,NA,NA,NA,18.101436813938,0,79.9522808087355,34,34,34,66,34,7.15183187894544,0,45.4541315128684,9,9,9,49,9,NA,NA,NA,NA,NA,NA,NA,NA,16.7672287570295,0,69.7069025340533,14,14,14,58,14
"21","US-ARc","NGS",NA,NA,NA,NA,NA,NA,NA,NA,5.7890918461427,0,68.3655575972989,12,12,12,62,12,5.1373866642425,0,63.8563056653651,12,12,12,57,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49747608028966,0,56.3477386422629,11,11,11,57,11,NA,NA,NA,NA,NA,NA,NA,NA,17.7631534669569,0,73.05437057912,13,13,13,54,13,4.26312282049478,0,16.5752775258943,5,5,5,12,5,NA,NA,NA,NA,NA,NA,NA,NA,14.181965787838,0,21.5670389067156,3,3,3,12,3
"22","US-ARM","FT",0.285359479549095,0,5.22851477151676,72,73,72,72,72,3.13505075090316,0,17.4641168448853,72,73,72,72,72,2.36408635224653,0,10.8005465351315,72,73,72,72,72,0.979256835207686,0,15.5894089793048,72,73,72,72,72,1.00846658474572,0,16.7308544182142,72,73,72,72,72,0.940481335411799,0,14.2360105112499,72,73,72,72,72,3.77782047904674,0,17.7695284616852,72,73,72,72,72,0.279405634126188,0,4.76691332787321,72,73,72,72,72,19.0379251129316,0,28.4492699037106,72,73,72,72,72,2.35261562037205,0,9.07614612146921,40,40,40,71,40,0.216049021607657,0,2.84035161246056,3,3,3,59,3,15.1456137398849,0,22.3620933818809,72,73,72,72,72
"23","US-ARM","GS",0.278291571692344,5,2.61464723249036,0,5,2,19,7,3.10727955345466,0,20.7442077910812,72,73,72,72,72,3.3693936793383,0,16.876802504756,72,73,72,72,72,1.55935204757289,10,35.0910503493036,72,73,72,72,72,2.43093729983278,0,46.6306465983161,72,73,72,72,72,2.94093413862373,0,44.2349350496002,72,73,72,72,72,3.79303167548746,0,21.2067618518147,72,73,72,72,72,0.357036967610324,0,6.75407357193981,72,73,72,72,72,22.4947267059863,0,35.8351869374515,72,73,72,72,72,3.35924785219246,0,14.4424413038194,17,17,17,67,17,0.403798291977301,0,4.06103140177895,5,5,5,55,5,19.3265593648685,0,30.6535880227112,18,18,18,70,18
"24","US-ARM","NGS",0.388618755038701,23,7.32947055956502,63,63,40,71,63,2.9801435987806,0,22.1099695832845,72,73,72,72,72,2.16451885045068,0,15.2765224835739,72,73,72,72,72,1.9181910387397,0,35.9793667437515,72,73,72,72,72,1.77136541325385,8,38.9553841462837,72,73,72,72,72,2.21819440314187,0,41.7867856963939,72,73,72,72,72,3.3702374062356,0,19.0475437234596,72,73,72,72,72,0.255973831280673,11,4.50596469232075,1,13,11,48,22,18.720533276493,0,31.5487909092026,72,73,72,72,72,2.03472229092635,0,11.2446949674582,72,73,72,72,72,0.269660146167634,0,0.702862684580712,2,2,2,3,2,14.9362399302559,0,24.7366459781796,72,73,72,72,72
"25","US-ASH","FT",NA,NA,NA,NA,NA,NA,NA,NA,11.8063150913937,0,131.402281730618,9,9,9,40,9,8.55763330233626,0,94.9713137417301,6,6,6,36,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95618860022256,0,46.8643558395751,6,6,6,20,6,NA,NA,NA,NA,NA,NA,NA,NA,21.4027467707512,0,107.730196341612,1,1,1,25,1,3.7901978889235,0,16.728630398707,1,1,1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,21.1576803495966,0,83.8660217643871,3,3,3,19,3
"26","US-ASH","GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6673107873976,0,56.3887670119282,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9781959043733,0,44.4854389952003,1,1,1,3,1
"27","US-ASH","NGS",NA,NA,NA,NA,NA,NA,NA,NA,14.732325298539,0,148.457879417674,7,7,7,20,7,12.9785127667816,10,161.783318708909,9,2,2,27,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73318268995591,0,11.9106275891137,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,20.2529832902743,0,52.0155100449581,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9934716812042,0,29.1510045476451,1,1,1,2,1
"28","US-ASM","FT",NA,NA,NA,NA,NA,NA,NA,NA,10.2230753845572,0,177.959235995639,72,73,72,72,72,7.67715032435217,5,129.586385483609,13,13,8,58,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95627134931992,0,154.370742954324,16,16,16,63,16,NA,NA,NA,NA,NA,NA,NA,NA,22.3180596760652,0,176.716299029746,24,24,24,52,24,7.02576904179839,18,37.2552553494928,1,4,2,17,20,NA,NA,NA,NA,NA,NA,NA,NA,21.1377655812814,0,39.7434893608377,1,1,1,6,1
"29","US-ASM","GS",NA,NA,NA,NA,NA,NA,NA,NA,12.3685448455072,0,178.376089752396,9,9,9,49,9,11.9732668188729,3,145.499068174626,1,8,8,41,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1131257431444,0,77.9255415850837,5,5,5,23,5,NA,NA,NA,NA,NA,NA,NA,NA,28.7520487619994,0,182.66940161969,1,1,1,33,1,9.21262606468502,16,26.8861983793933,0,1,1,10,17,NA,NA,NA,NA,NA,NA,NA,NA,25.9882655160979,0,35.7256066242949,1,1,1,4,1
"30","US-ASM","NGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","US-Bar","FT",0.59976368316156,0,10.1390120736348,72,73,72,72,72,5.70203980791299,0,36.92674371559,72,73,72,72,72,2.9351846967427,0,14.631582500572,72,73,72,72,72,0.950831137302441,0,15.5209251550091,72,73,72,72,72,0.737354213567584,0,11.9521876904417,72,73,72,72,72,0.676131487101059,0,10.0377015942003,72,73,72,72,72,5.02789237613485,0,35.9205997378779,72,73,72,72,72,0.407622350786206,0,6.65734184067771,72,73,72,72,72,17.7504075904417,0,29.1637644864751,72,73,72,72,72,2.0423313196375,0,11.7492711074058,72,73,72,72,72,0.313513591767074,0,4.93141700599604,30,30,30,67,30,13.8347647311806,0,24.3415897531236,72,73,72,72,72
"32","US-Bar","GS",0.729176806576646,0,12.4808957294127,6,6,6,68,6,5.42717118577873,0,29.6420988144391,72,73,72,72,72,4.20968502233969,0,22.5711607429027,72,73,72,72,72,1.35269399485052,0,23.8214986690789,72,73,72,72,72,1.40878498628324,0,21.2197169749042,72,73,72,72,72,1.4998227875559,0,21.3580026557416,72,73,72,72,72,5.02414808072648,0,30.8875671442784,72,73,72,72,72,0.636114062507888,0,7.80071187406213,9,9,9,55,9,25.3472298049055,0,42.6688709956911,72,73,72,72,72,3.4080897970091,0,20.4741740642017,72,73,72,72,72,0.602138991937669,0,8.55482440636201,11,11,11,49,11,22.3116915138733,0,37.8872402578745,72,73,72,72,72
"33","US-Bar","NGS",0.603202842107418,18,12.6017202855961,72,73,72,72,72,2.90661927945374,0,25.3092408344415,72,73,72,72,72,1.70446336980657,0,16.3700856261577,72,73,72,72,72,0.87179546850816,0,17.7827759172611,72,73,72,72,72,0.650041602767682,1,13.9434659064316,72,73,72,72,72,0.735297935770784,0,14.663445522662,72,73,72,72,72,2.40728905950106,0,22.2706589354407,72,73,72,72,72,0.390647088458703,1,8.51963479587957,72,73,72,72,72,15.4683727254316,0,30.6391018262546,72,73,72,72,72,1.12636296810011,0,11.3997885888176,72,73,72,72,72,0.396230827581177,0,7.64039152825935,38,38,38,70,38,11.8342004345001,0,22.7130961663772,72,73,72,72,72
"34","US-Bi1","FT",0.581957665460343,2,11.0071955124326,19,19,17,69,19,3.39028289028292,0,30.2886145564117,72,73,72,72,72,2.33203681105628,0,21.8614418808898,72,73,72,72,72,2.2304624391737,23,45.6587630582561,72,73,72,72,72,2.22628347820655,1,47.5213012264283,72,73,72,72,72,2.50944759995373,8,50.8924785286305,72,73,72,72,72,3.44573554671252,0,29.4093528195964,72,73,72,72,72,0.437808176992101,7,5.51125642425407,11,11,4,42,11,23.4069651982196,0,45.8610788241512,72,73,72,72,72,1.9152178085834,0,18.5876607085795,72,73,72,72,72,0.414325404046887,1,4.86135367338985,2,2,1,30,2,19.8080977550094,0,38.9215436353668,72,73,72,72,72
