"","site_id","site_name","data_policy","data_start","data_end","latitude","longitude","elevation","timezone","avg_air_temp_degC","avg_precip_mm","IGBP_veg","Koppen_clim_class","soil_texture","Description","porosity","psi.ae","lamda","Sf"
"25","US-CS2","Tri county school Pine Forest","CCBY4.0",2018,2022,44.1467,-89.5002,328,"America/Chicago",7,830,"ENF","Dfa",2,"Loamy sand",0.41,9,0.553,6.13
"26","US-CS3","Central Sands Irrigated Agricultural Field","CCBY4.0",2019,2020,44.1394,-89.5727,328,"America/Chicago",7,830,"CRO","Dfa",2,"Loamy sand",0.41,9,0.553,6.13
"27","US-CS4","Central Sands Irrigated Agricultural Field","CCBY4.0",2020,2021,44.1597,-89.5475,328,"America/Chicago",7,830,"CRO","Dfa",2,"Loamy sand",0.41,9,0.553,6.13
"28","US-CS5","Central Sands Irrigated Agricultural Field","CCBY4.0",2021,2021,44.1095,-89.5377,328,"America/Chicago",7,830,"CRO","Dfa",1,"Sand",0.395,12.1,0.694,4.95
"29","US-CS6","Central Sands Irrigated Agricultural Field","CCBY4.0",2022,2023,44.4297,-89.544,328,"America/Chicago",7,830,"CRO","Dfa",2,"Loamy sand",0.41,9,0.553,6.13
"30","US-CS8","Central Sands Irrigated Agricultural Field","CCBY4.0",2023,2023,44.4338,-89.5364,328,"America/Chicago",7,830,"CRO","Dfa",2,"Loamy sand",0.41,9,0.553,6.13
"31","US-Cst","Crossett Experimental Forest","CCBY4.0",2013,2017,33.0442,-91.9204,50,"America/Chicago",17.4,1410,"ENF","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"32","US-DFC","US Dairy Forage Research Center, Prairie du Sac","CCBY4.0",2018,2024,43.3448,-89.7117,264.9,"America/Chicago",7.65,787,"CRO","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"33","US-Dmg","Dutch Slough Marsh Gilbert Tract","CCBY4.0",2021,2024,38.0015,-121.6691,1,"America/Los_Angeles",16.1,365,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"34","US-DS3","Staten Rice 1","CCBY4.0",2021,2025,38.1235,-121.549,-7,"America/Los_Angeles",16,432,"CRO","Csa",13,"Organic materials",NA,NA,NA,NA
"35","US-EDN","Eden Landing Ecological Reserve","CCBY4.0",2018,2021,37.6156,-122.114,NA,"America/Los_Angeles",NA,NA,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"36","US-Fmf","Flagstaff - Managed Forest","CCBY4.0",2005,2010,35.1426,-111.7273,2160,"America/Phoenix",9.5,546,"ENF","Csb",6,"Loam",0.451,47.8,0.252,8.89
"37","US-Fuf","Flagstaff - Unmanaged Forest","CCBY4.0",2005,2010,35.089,-111.762,2180,"America/Phoenix",8.7,562,"ENF","Csb",6,"Loam",0.451,47.8,0.252,8.89
"38","US-Fwf","Flagstaff - Wildfire","CCBY4.0",2005,2010,35.4454,-111.7718,2270,"America/Phoenix",8.4,557,"GRA","Csb",6,"Loam",0.451,47.8,0.252,8.89
"39","US-GLE","GLEES","CCBY4.0",1999,2020,41.3665,-106.2399,3197,"America/Denver",0.8,1200,"ENF","Dfc",3,"Sandy loam",0.435,21.8,0.378,11.01
"40","US-Ha1","Harvard Forest EMS Tower (HFR1)","CCBY4.0",1991,2024,42.5378,-72.1715,340,"America/New_York",6.62,1071,"DBF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"41","US-HB1","North Inlet Crab Haul Creek","CCBY4.0",2019,2022,33.3455,-79.1957,0.1,"America/New_York",18.3,1429,"WET","Cfa",13,"Organic materials",NA,NA,NA,NA
"42","US-HB2","Hobcaw Barony Mature Longleaf Pine","CCBY4.0",2019,2019,33.3242,-79.244,4.7,"America/New_York",18.3,1429,"ENF","Cfa",13,"Organic materials",NA,NA,NA,NA
"43","US-HB3","Hobcaw Barony Longleaf Pine Restoration","CCBY4.0",2019,2022,33.3482,-79.2322,7.3,"America/New_York",18.3,1429,"ENF","Cfa",13,"Organic materials",NA,NA,NA,NA
"44","US-Hn2","Hanford 100H grassland","CCBY4.0",2015,2018,46.6889,-119.4641,117.5,"America/Los_Angeles",12.8,197,"GRA","Bsk",1,"Sand",0.395,12.1,0.694,4.95
"45","US-Hn3","Hanford 100H sagebrush","CCBY4.0",2017,2018,46.6878,-119.4614,120.9,"America/Los_Angeles",12.8,197,"OSH","Bsk",1,"Sand",0.395,12.1,0.694,4.95
"46","US-Ho1","Howland Forest (main tower)","CCBY4.0",1996,2024,45.2041,-68.7402,60,"America/New_York",5.27,1070,"ENF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"47","US-Ho2","Howland Forest (west tower)","CCBY4.0",1999,2024,45.2091,-68.747,61,"America/New_York",5.13,1064,"ENF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"48","US-HWB","USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site","CCBY4.0",2015,2018,40.8608,-77.8488,378,"America/New_York",10.1,1006.35,"CVM","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"49","US-Jo1","Jornada Experimental Range Bajada Site","CCBY4.0",2010,2022,32.582,-106.635,1188,"America/Denver",14.7,245.1,"OSH","Bwk",8,"Silty clay loam",0.477,35.6,0.177,27.3
"50","US-Jo2","Jornada Experimental Range Mixed Shrubland","CCBY4.0",2010,2020,32.5849,-106.6032,1469,"America/Denver",17.5,282.3,"OSH","Bwk",16,"Other",NA,NA,NA,NA
"51","US-KFS","Kansas Field Station","CCBY4.0",2007,2019,39.0561,-95.1907,310,"America/Chicago",12,1014,"GRA","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"52","US-KLS","Kansas Land Institute","CCBY4.0",2012,2019,38.7745,-97.5684,373,"America/Chicago",12,812,"GRA","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"53","US-Kon","Konza Prairie LTER (KNZ)","CCBY4.0",2004,2019,39.0824,-96.5603,417,"America/Chicago",12.77,867,"GRA","Cfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"54","US-KS1","Kennedy Space Center (slash pine)","CCBY4.0",2002,2003,28.4583,-80.6709,1,"America/New_York",21.9,1266,"ENF","Cwa",1,"Sand",0.395,12.1,0.694,4.95
"55","US-KS2","Kennedy Space Center (scrub oak)","CCBY4.0",1999,2006,28.6086,-80.6715,3,"America/New_York",21.66,1294,"CSH","Cwa",1,"Sand",0.395,12.1,0.694,4.95
"56","US-KS3","Kennedy Space Center (salt marsh)","CCBY4.0",2018,2019,28.7084,-80.7427,0,"America/New_York",22.3,1340,"WET","Cfa",14,"Water",NA,NA,NA,NA
"57","US-Lin","Lindcove Orange Orchard","CCBY4.0",2009,2010,36.3566,-119.0922,131,"America/Los_Angeles",NA,NA,"CRO",NA,12,"Clay",0.482,40.5,0.165,31.63
"58","US-LS2","San Pedro River Lewis Springs Savanna","CCBY4.0",2002,2007,31.5659,-110.1344,1240,"America/Phoenix",17,288,"SAV","Bwh",6,"Loam",0.451,47.8,0.252,8.89
"59","US-Me1","Metolius - Eyerly burn","CCBY4.0",2004,2005,44.5794,-121.5,896,"America/Los_Angeles",7.88,704.61,"ENF","Csb",3,"Sandy loam",0.435,21.8,0.378,11.01
"60","US-Me2","Metolius mature ponderosa pine","CCBY4.0",2002,2024,44.4526,-121.5589,1253,"America/Los_Angeles",6.28,523,"ENF","Csb",3,"Sandy loam",0.435,21.8,0.378,11.01
"61","US-Me3","Metolius-second young aged pine","CCBY4.0",2004,2009,44.3154,-121.6078,1005,"America/Los_Angeles",7.07,719,"ENF","Csb",3,"Sandy loam",0.435,21.8,0.378,11.01
"62","US-Me6","Metolius Young Pine Burn","CCBY4.0",2010,2024,44.3233,-121.6078,998,"America/Los_Angeles",7.59,494,"ENF","Csb",3,"Sandy loam",0.435,21.8,0.378,11.01
"63","US-MMS","Morgan Monroe State Forest","CCBY4.0",1999,2025,39.3232,-86.4131,275,"America/Indiana/Indianapolis",10.85,1032,"DBF","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"64","US-Mo1","LTAR CMRB Field 1 (CMRB ASP)","CCBY4.0",2015,2024,39.2298,-92.1167,260,"America/Chicago",12,981,"CRO","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"65","US-Mo2","LTAR CMRB Tucker Prairie (CMRB TP)","CCBY4.0",2018,2024,38.9488,-91.9945,275,"America/Chicago",12,981,"GRA","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"66","US-Mo3","LTAR CMRB Field 3 (CMRB BAU)","CCBY4.0",2016,2023,39.2322,-92.1493,261,"America/Chicago",12,981,"CRO","Cfa",6,"Loam",0.451,47.8,0.252,8.89
"67","US-MOz","Missouri Ozark Site","CCBY4.0",2004,2021,38.7441,-92.2,219.4,"America/Chicago",12.11,986,"DBF","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"68","US-Mpj","Mountainair Pinyon-Juniper Woodland","CCBY4.0",2008,2024,34.4385,-106.2377,2196,"America/Denver",10.5,385,"WSA","Bsk",3,"Sandy loam",0.435,21.8,0.378,11.01
"69","US-Myb","Mayberry Wetland","CCBY4.0",2010,2024,38.0499,-121.765,-4,"America/Los_Angeles",15.9,338,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"70","US-NC1","NC_Clearcut","CCBY4.0",2005,2012,35.8118,-76.7119,5,"America/New_York",16.6,1320,"ENF","Cfa",6,"Loam",0.451,47.8,0.252,8.89
"71","US-NC3","NC_Clearcut#3","CCBY4.0",2013,2021,35.799,-76.656,5,"America/New_York",16.6,1320,"ENF","Cfa",6,"Loam",0.451,47.8,0.252,8.89
"72","US-NC4","NC_AlligatorRiver","CCBY4.0",2009,2025,35.7879,-75.9038,1,"America/New_York",16.6,1311,"WET","Cfa",13,"Organic materials",NA,NA,NA,NA
"73","US-Ne1","Mead - irrigated continuous maize site","CCBY4.0",2001,2024,41.1651,-96.4766,361,"America/Chicago",10.07,790.37,"CRO","Dfa",8,"Silty clay loam",0.477,35.6,0.177,27.3
"74","US-NR1","Niwot Ridge Forest (LTER NWT1)","CCBY4.0",1998,2024,40.0329,-105.5464,3050,"America/Denver",1.5,800,"ENF","Dfc",3,"Sandy loam",0.435,21.8,0.378,11.01
"75","US-Oho","Oak Openings","CCBY4.0",2004,2013,41.5545,-83.8438,230,"America/New_York",10.1,849,"DBF","Dfa",1,"Sand",0.395,12.1,0.694,4.95
"76","US-ONA","Florida pine flatwoods","CCBY4.0",2016,2022,27.3836,-81.9509,25,"America/New_York",22.3,1268,"GRA","Cfa",1,"Sand",0.395,12.1,0.694,4.95
"77","US-ORv","Olentangy River Wetland Research Park","CCBY4.0",2011,2016,40.0201,-83.0183,221,"America/New_York",11.63,1499.1,"WET","Cfa",4,"Silt loam",0.485,78.6,0.234,16.68
"78","US-OWC","Old Woman Creek","CCBY4.0",2015,2024,41.3795,-82.5125,174,"America/New_York",10.7,930,"WET","Dfb",8,"Silty clay loam",0.477,35.6,0.177,27.3
"79","US-PFb","NW1 Pine-1 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.972,-90.3232,474,"America/Chicago",4.33,823,"ENF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"80","US-PFc","NW2 Aspen-1 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9677,-90.3088,473,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"81","US-PFd","NW3 Tussock-1 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9689,-90.301,473,"America/Chicago",4.33,823,"WET","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"82","US-PFk","SW1 Aspen-2 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9149,-90.3425,476,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"83","US-PFL","SW2 Aspen-3 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9409,-90.3177,464,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"84","US-PFm","SW3 Hardwood-2 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9207,-90.3099,484,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"85","US-PFn","SW4 Hardwood-3 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9392,-90.2823,478,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"86","US-PFp","SE2 Hardwood-4 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9365,-90.2641,497,"America/Chicago",4.33,823,"DBF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"87","US-PFq","SE3 Aspen-4 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9271,-90.2475,473,"America/Chicago",4.33,823,"DBF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"88","US-PFt","SE6 Pine-4 CHEESEHEAD 2019","CCBY4.0",2019,2019,45.9197,-90.2288,466,"America/Chicago",4.33,823,"ENF","Dfb",2,"Loamy sand",0.41,9,0.553,6.13
"89","US-Pnp","Lake Mendota, Picnic Point Site","CCBY4.0",2016,2022,43.0896,-89.4158,260,"America/Chicago",7.94,875,"WAT","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"90","US-PSH","USSL San Joaquin Valley Pistachio High","CCBY4.0",2016,2017,36.2347,-119.9247,70,"America/Los_Angeles",15.6,191,"DBF","Bsk",9,"Clay loam",0.476,63,0.242,20.88
"91","US-PSL","USSL San Joaquin Valley Pistachio Low","CCBY4.0",2016,2017,36.8276,-120.1397,65,"America/Los_Angeles",16.7,311,"DBF","Bsk",3,"Sandy loam",0.435,21.8,0.378,11.01
"92","US-RGA","Arkansas Corn Farm","CCBY4.0",2021,2025,34.4159,-91.6733,61,"America/Chicago",16.7,1250,"CRO","Csa",12,"Clay",0.482,40.5,0.165,31.63
"93","US-RGB","Butte County Rice Farm","CCBY4.0",2021,2024,39.5782,-121.8579,33,"America/Los_Angeles",16,737,"CRO","Csa",12,"Clay",0.482,40.5,0.165,31.63
"94","US-RGF","Stanislaus County Forage Farm","CCBY4.0",2023,2025,37.6995,-121.1369,16,"America/Los_Angeles",17.2,31,"CRO","Csa",3,"Sandy loam",0.435,21.8,0.378,11.01
"95","US-RGo","Glenn County Organic Rice Farm","CCBY4.0",2021,2025,39.6805,-122.0026,40,"America/Los_Angeles",16,610,"CRO","Csa",6,"Loam",0.451,47.8,0.252,8.89
"96","US-RGW","Desha County Rice Farm","CCBY4.0",2022,2024,33.6216,-91.4306,41,"America/Chicago",16.7,1283,"CRO","Csa",12,"Clay",0.482,40.5,0.165,31.63
"97","US-Rls","RCEW Low Sagebrush","CCBY4.0",2014,2023,43.1439,-116.7356,1608,"America/Boise",8.4,333,"CSH","Bsh",6,"Loam",0.451,47.8,0.252,8.89
"98","US-Rms","RCEW Mountain Big Sagebrush","CCBY4.0",2014,2023,43.0645,-116.7486,2111,"America/Boise",5.4,800,"CSH","Bsh",6,"Loam",0.451,47.8,0.252,8.89
"99","US-Ro1","Rosemount- G21","CCBY4.0",2004,2016,44.7143,-93.0898,290,"America/Chicago",6.4,879,"CRO","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"100","US-Ro2","Rosemount- C7","CCBY4.0",2008,2016,44.7288,-93.0888,292,"America/Chicago",6.4,879,"CRO","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"101","US-Ro3","Rosemount- G19","CCBY4.0",2004,2007,44.7217,-93.0893,260,"America/Chicago",6.4,879,"CRO","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"102","US-Ro4","Rosemount Prairie","CCBY4.0",2014,2024,44.6781,-93.0723,274,"America/Chicago",6.4,879,"GRA","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"103","US-Ro5","Rosemount I18_South","CCBY4.0",2017,2024,44.691,-93.0576,283,"America/Chicago",6.4,879,"CRO","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"104","US-Ro6","Rosemount I18_North","CCBY4.0",2017,2024,44.6946,-93.0578,282,"America/Chicago",6.4,879,"CRO","Dfa",4,"Silt loam",0.485,78.6,0.234,16.68
"105","US-RRC","Rice Rivers Center Marsh","CCBY4.0",2022,2024,37.3344,-77.2065,0.1,"America/New_York",15.4,1117,"WET","Dfa",14,"Water",NA,NA,NA,NA
"106","US-Rwe","RCEW Reynolds Mountain East","CCBY4.0",2003,2007,43.0653,-116.7591,2098,"America/Boise",5.4,800,"CSH","Bsh",6,"Loam",0.451,47.8,0.252,8.89
"107","US-Rwf","RCEW Upper Sheep Prescibed Fire","CCBY4.0",2014,2023,43.1207,-116.7231,1878,"America/Boise",6.5,505,"CSH","Bsh",6,"Loam",0.451,47.8,0.252,8.89
"108","US-Rws","Reynolds Creek Wyoming big sagebrush","CCBY4.0",2014,2023,43.1675,-116.7132,1425,"America/Boise",8.9,290,"OSH","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"109","US-Seg","Sevilleta grassland","CCBY4.0",2007,2024,34.3623,-106.702,1596,"America/Denver",13.667,273.304,"GRA","Bsk",1,"Sand",0.395,12.1,0.694,4.95
"110","US-Ses","Sevilleta shrubland","CCBY4.0",2007,2024,34.3349,-106.7442,1604,"America/Denver",13.722,275.082,"OSH","Bsk",1,"Sand",0.395,12.1,0.694,4.95
"111","US-Sne","Sherman Island Restored Wetland","CCBY4.0",2016,2020,38.0369,-121.7547,-5,"America/Los_Angeles",16.09,311,"GRA","Csa",12,"Clay",0.482,40.5,0.165,31.63
"112","US-Snf","Sherman Barn","CCBY4.0",2018,2020,38.0402,-121.7272,-4,"America/Los_Angeles",NA,NA,"GRA","Csa",12,"Clay",0.482,40.5,0.165,31.63
"113","US-SP1","Slashpine-Austin Cary- 65yrs nat regen","CCBY4.0",2000,2020,29.7381,-82.2188,50,"America/New_York",20.06,1309.77,"ENF","Cfa",1,"Sand",0.395,12.1,0.694,4.95
"114","US-SRC","Santa Rita Creosote","CCBY4.0",2008,2014,31.9083,-110.8395,950,"America/Phoenix",22,330,"OSH","Bwh",6,"Loam",0.451,47.8,0.252,8.89
"115","US-SRG","Santa Rita Grassland","CCBY4.0",2008,2024,31.7894,-110.8277,1291,"America/Phoenix",17,420,"GRA","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"116","US-SRM","Santa Rita Mesquite","CCBY4.0",2004,2024,31.8214,-110.8661,1120,"America/Phoenix",17.92,380,"WSA","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"117","US-Srr","Suisun marsh - Rush Ranch","CCBY4.0",2014,2017,38.2006,-122.0264,8,"America/Los_Angeles",15.1,326,"WET","Csa",13,"Organic materials",NA,NA,NA,NA
"118","US-SRS","Santa Rita Savanna","CCBY4.0",2011,2018,31.8173,-110.8508,1169,"America/Phoenix",19.4,388,"WSA","Bsk",6,"Loam",0.451,47.8,0.252,8.89
"119","US-SSH","Susquehanna Shale Hills Critical Zone Observatory","CCBY4.0",2016,2021,40.6658,-77.9041,310,"America/New_York",9.5,1050,"DBF","Dfb",6,"Loam",0.451,47.8,0.252,8.89
"120","US-StJ","St Jones Reserve","CCBY4.0",2014,2017,39.0882,-75.4372,6.7,"America/New_York",13.5,1121,"WET","Cfa",3,"Sandy loam",0.435,21.8,0.378,11.01
"121","US-Syv","Sylvania Wilderness Area","CCBY4.0",2001,2024,46.242,-89.3477,540,"America/Menominee",3.81,826,"MF","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"122","US-Ton","Tonzi Ranch","CCBY4.0",2001,2024,38.4309,-120.966,177,"America/Los_Angeles",15.8,559,"WSA","Csa",4,"Silt loam",0.485,78.6,0.234,16.68
"123","US-Tw1","Twitchell Wetland West Pond","CCBY4.0",2011,2023,38.1074,-121.6469,-5,"America/Los_Angeles",15.5,421,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"124","US-Tw2","Twitchell Corn","CCBY4.0",2012,2013,38.0969,-121.6365,-5,"America/Los_Angeles",15.5,421,"CRO","Csa",12,"Clay",0.482,40.5,0.165,31.63
"125","US-Tw3","Twitchell Alfalfa","CCBY4.0",2013,2018,38.1152,-121.6469,-4,"America/Los_Angeles",15.6,421,"CRO","Csa",12,"Clay",0.482,40.5,0.165,31.63
"126","US-Tw4","Twitchell East End Wetland","CCBY4.0",2013,2023,38.1027,-121.6413,-5,"America/Los_Angeles",15.6,421,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"127","US-Tw5","East Pond Wetland","CCBY4.0",2018,2020,38.1072,-121.6426,-5,"America/Los_Angeles",15.5,421,"WET","Csa",12,"Clay",0.482,40.5,0.165,31.63
"128","US-UC1","LTAR UCB (Upper Chesapeake Bay) EC1","CCBY4.0",2019,2024,40.7536,-78.0056,390,"America/New_York",10.1,1006.35,"CVM","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"129","US-UC2","LTAR UCB (Upper Chesapeake Bay) EC2","CCBY4.0",2019,2024,40.7559,-77.9998,396,"America/New_York",10.1,1006.35,"CVM","Dfb",3,"Sandy loam",0.435,21.8,0.378,11.01
"130","US-UM3","Douglas Lake","CCBY4.0",2013,2014,45.5686,-84.6707,234,"America/Detroit",5.83,803,"WAT","Dfb",1,"Sand",0.395,12.1,0.694,4.95
"131","US-UMB","Univ. of Mich. Biological Station","CCBY4.0",2000,2024,45.5598,-84.7138,234,"America/Detroit",5.83,803,"DBF","Dfb",1,"Sand",0.395,12.1,0.694,4.95
"132","US-UMd","UMBS Disturbance","CCBY4.0",2007,2025,45.5625,-84.6975,239,"America/Detroit",5.83,803,"DBF","Dfb",1,"Sand",0.395,12.1,0.694,4.95
"133","US-UTB","UFLUX Bonneville Salt Flats","CCBY4.0",2021,2024,40.7848,-113.8299,1287,"America/Denver",10.6,138.59,"BSV","Bwk",11,"Silty clay",0.492,49,0.15,29.22
"134","US-Var","Vaira Ranch- Ione","CCBY4.0",2000,2024,38.4133,-120.9508,129,"America/Los_Angeles",15.8,559,"GRA","Csa",4,"Silt loam",0.485,78.6,0.234,16.68
"135","US-Vcm","Valles Caldera Mixed Conifer","CCBY4.0",2007,2023,35.8884,-106.5321,3030,"America/Denver",6.4,646,"ENF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"136","US-Vcp","Valles Caldera Ponderosa Pine","CCBY4.0",2007,2024,35.8642,-106.5967,2500,"America/Denver",9.8,550,"ENF","Dfb",4,"Silt loam",0.485,78.6,0.234,16.68
"137","US-Whs","Walnut Gulch Lucky Hills Shrub","CCBY4.0",2007,2024,31.7438,-110.0522,1370,"America/Phoenix",17.6,320,"OSH","Bsk",6,"Loam",0.451,47.8,0.252,8.89
